[description:"convert DealsBoardFiltered to typescript" end:"1580499719" entry:"1580236981" modified:"1580499719" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"73b0dce5-eafd-4a09-867a-cd76f3635a91"]
[description:"convert DealSettingsDialog to typescript" end:"1580437830" entry:"1580236981" modified:"1580437830" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"4962d174-9878-4f3c-9f41-1a9b9d0b02f6"]
[description:"convert DealsBoardColumn to typescript" end:"1580410652" entry:"1580236981" modified:"1580410652" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"0c9eb19a-a507-40da-88bf-ba01cdcca10e"]
[description:"convert DealsBoard to typescript" end:"1580376612" entry:"1580236981" modified:"1580376612" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"da4accc9-9524-4cce-aed0-8ac6ed8017e8"]
[description:"convert DealsActions.jsx to typescript" end:"1580368835" entry:"1580236981" modified:"1580368835" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"9834ca6e-9a77-44c7-9b6f-ea04a9fcba8c"]
[description:"convert DealsStore to typescript" end:"1580242219" entry:"1580236981" modified:"1580242219" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"ae97d0ee-3dfb-4383-8c88-30780af0a14c"]
[description:"automatically close the modal after save" end:"1580237001" entry:"1579846466" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"86d4b93a-02d1-4731-a9f7-4a96e6c55d91"]
[description:"when theres a change, youll have to rerender manually" end:"1580237001" entry:"1579846507" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"ac780b93-a2e3-4949-81b2-8d67c0144bfa"]
[description:"x" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"add420e8-a00f-4f10-84e4-dc9a6436bae0"]
[description:"r" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"93c542c5-98fd-44c7-8aa7-97b71940c11f"]
[description:"i" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"d697e43d-312a-4252-9394-33d51f84cc69"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"1aac2d52-5508-45ab-a980-5c32fbe6eb75"]
[description:"d" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"dcfb2cd5-f7b7-4b47-805d-bddc9400b3a8"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"c4ab14dc-daa4-45e5-8f7b-f30e85d7387b"]
[description:"," end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"32fa67dc-4922-41b9-9449-9ea1f37d4c3e"]
[description:"D" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"6f9113fa-b874-4164-9b80-b558427421bf"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"dd5a6be2-db29-4438-9371-74b8599b0c3d"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"8fb2aa50-c5c3-4253-a546-76051067500a"]
